title,startYear,runtimeMinutes,genres,averageRating,numVotes,region,language,tconst,decade
Dangerous Safari,1956,64,"Adventure,Documentary",7.2,12.0,US,en,tt0166027,1950
Swan Lake,1957,80,Music,7.8,42.0,US,en,tt0165855,1950
Ceux d'aujourd'hui,1952,112,Drama,7.2,23.0,FR,fr,tt0246640,1950
Acts of the Apostles,1957,150,"Drama,History",8.4,18.0,US,en,tt0491750,1950
Train sans horaire,1959,121,Drama,7.3,155.0,FR,fr,tt0170774,1950
Aventure dans la baie d'or,1955,69,Family,7.5,22.0,CA,en,tt0244488,1950
The Black Battalion,1958,90,Drama,7.0,36.0,US,en,tt0247242,1950
Eux,1951,89,Drama,7.0,31.0,FR,fr,tt0157793,1950
Le comte de Monte-Cristo: 2ème époque 'La vengeance',1955,89,\N,7.5,31.0,FR,fr,tt13298950,1950
Shock Patrol,1957,90,"Drama,War",7.0,35.0,US,en,tt0159636,1950
The Legend of the Lone Ranger,1955,60,Western,8.1,70.0,US,en,tt0790703,1950
The Sweetness of Love,1952,105,Musical,7.4,18.0,US,en,tt0185021,1950
Every Beat of My Heart,1959,93,Musical,7.0,28.0,US,en,tt0184654,1950
Destins de femmes,1953,130,Drama,7.2,164.0,FR,fr,tt0186387,1950
Les mouettes meurent au port,1955,94,Drama,7.0,312.0,FR,fr,tt0222186,1950
Still I Live On,1951,102,Drama,7.0,34.0,US,en,tt0186033,1950
Perfect Game,1958,93,"Action,Crime",7.2,92.0,US,en,tt1935157,1950
Jeune fille sous ciel bleu,1957,88,"Comedy,Drama",7.2,498.0,FR,fr,tt0228021,1950
Strange Encounter,1958,87,Crime,7.0,108.0,US,en,tt0189508,1950
The Princess of Badger Palace,1958,98,"Comedy,Fantasy,History",7.2,7.0,US,en,tt0189385,1950
The Promised Land,1959,114,Drama,7.1,68.0,CA,en,tt0188321,1950
I Love Lucy: The Movie,1953,80,Comedy,8.3,492.0,US,en,tt0445461,1950
The Great Avengers,1959,183,\N,7.4,28.0,US,en,tt0186921,1950
Le Don paisible II,1958,115,Drama,7.9,124.0,FR,fr,tt0187550,1950
Samedi Soir,1957,91,"Drama,Romance,Sport",7.8,136.0,FR,fr,tt0174251,1950
Desertion at Dawn,1950,116,"Drama,War",7.7,54.0,US,en,tt0182685,1950
Quatre nuits avec toi ...,1954,\N,Drama,7.2,13.0,FR,fr,tt0235309,1950
Nos enfants,1951,80,Drama,7.2,26.0,FR,fr,tt0130166,1950
Oda Nobunaga: The Lucky Adventurer,1959,95,"Drama,History",7.0,33.0,US,en,tt3084118,1950
Adventure in Tokyo,1952,97,Drama,7.5,41.0,US,en,tt0322592,1950
Himeyuri Lily Tower,1953,130,"Drama,War",7.1,106.0,US,en,tt0128250,1950
The First Kings of Comedy,1957,79,"Comedy,Documentary",7.1,458.0,US,en,tt0129119,1950
Le veuf,1959,91,Comedy,7.2,1413.0,FR,fr,tt0131097,1950
La princesse Sen,1954,95,"Drama,History",7.7,9.0,FR,fr,tt1452603,1950
Ma chérie,1957,120,"Comedy,Romance",7.0,244.0,FR,fr,tt0126354,1950
Le temps des moissons,1956,94,Drama,7.4,281.0,FR,fr,tt0125730,1950
I theia apo to Chicago,1957,72,Comedy,7.6,1736.0,US,en,tt0135673,1950
The Magic of the Kite,1958,82,"Adventure,Family,Fantasy",7.4,116.0,US,en,tt0135834,1950
Cité morte,1951,76,Drama,7.4,51.0,FR,fr,tt0137126,1950
Rape on the Moor,1952,90,Drama,7.0,93.0,US,en,tt0137200,1950
Les quatre marches,1951,98,"Comedy,Drama,Romance",7.1,65.0,FR,fr,tt0137230,1950
La terre,1957,102,Drama,7.9,51.0,FR,fr,tt0279526,1950
Le sorcier de Santa-Cruz,1952,108,Drama,7.8,140.0,FR,fr,tt0132464,1950
Untouched,1954,85,"Adventure,Drama,Thriller",7.1,72.0,US,en,tt0132524,1950
Le fleuve noir,1957,114,"Action,Crime,Drama",7.2,1170.0,FR,fr,tt0134771,1950
Coeur sincère,1953,95,"Drama,Romance",7.0,220.0,FR,fr,tt0134805,1950
La pièce aux murs épais,1956,110,Drama,7.1,617.0,FR,fr,tt0134756,1950
Rosaura à dix heures,1958,100,"Drama,Mystery",7.7,504.0,FR,fr,tt0121703,1950
Adam Becomes a Man,1959,83,Drama,7.3,119.0,US,en,tt0297704,1950
Calypso Island,1958,72,Drama,7.1,22.0,US,en,tt0122119,1950
La vengeance de l'être aimé,1951,76,Thriller,8.7,15.0,FR,fr,tt0316029,1950
Genghis Khan,1950,88,Action,7.0,54.0,US,en,tt0291939,1950
L'ogre d'Athènes,1956,103,"Crime,Drama",7.9,2140.0,FR,fr,tt0124437,1950
Maitre de son corps,1957,109,Drama,7.8,201.0,FR,fr,tt0123286,1950
Voyage to the Moon,1958,80,"Comedy,Romance",7.0,81.0,US,en,tt0265985,1950
The Call of Destiny,1953,100,"Comedy,Drama,Family",7.0,29.0,US,en,tt0149697,1950
The Night Is My Kingdom,1951,110,Drama,7.0,349.0,US,en,tt0151785,1950
Mirage,1959,82,Drama,7.0,27.0,US,en,tt0150808,1950
Histoire de fantômes japonais,1959,76,Horror,7.0,1741.0,FR,fr,tt0155278,1950
The Road to Hell,1951,90,"Crime,Drama,Thriller",7.0,41.0,US,en,tt0262320,1950
Would-Be Gentleman,1958,96,"Comedy,Drama,Romance",7.2,42.0,US,en,tt0154249,1950
